
8,870 西洋文學,"魔電聯盟. 7, 最後戰役 ",理查.保羅.伊凡斯(Richard Paul Evans),未來出版,870001
8,870 西洋文學,"魔電聯盟. 6, 衝出監獄島 ",理查.保羅.伊凡斯(Richard Paul Evans),未來出版,870002
8,870 西洋文學,緬甸歲月 ,喬治.歐威爾(George Orwell),聯經,870003
8,870 西洋文學,紅色細胞 ,馬克.韓紹(Mark Henshaw),聯經,870004
8,870 西洋文學,基姆 ,吉卜林(Rudyard Kipling),聯經,870005
8,870 西洋文學,藍蘿蔔在哪裡?  : 從史前時代找到太空探索時代!,賽巴斯提安.戴勒齊(Sébastien Telleschi),時報文化,870006
8,870 西洋文學,焚城記 ,保羅.巴奇加盧比(Paolo Bacigalupi),時報文化,870007
8,870 西洋文學,莉莉和她的王冠 ,史蒂芬.羅利(Steven Rowley),時報文化,870008
8,870 西洋文學,女孩們 ,艾瑪.克萊恩(Emma Cline),時報文化,870009
8,870 西洋文學,羅馬四季 ,安東尼.杜爾(Anthony Doerr) ,時報文化,870010
