
3,390 人類學,發現人體 [電子資源(電子書)] : 生理學簡史,潘震澤,衛城,390001
3,390 人類學,聽懂臨終絮語 [電子資源(電子書)] : 語言學家帶你了解親人最後的話,莉莎.史瑪特(Lisa Smartt),時報文化,390002
3,390 人類學,切開左右腦 [電子資源(電子書)] : 葛詹尼加的腦科學人生,葛詹尼加(Michael S. Gazzaniga),貓頭鷹出版社公司,390003
3,390 人類學,"2050科幻大成真 [電子資源(電子書)] : 超能力、心智控制、人造記憶、遺忘藥丸、奈米機器人, 即將改變我們的世界",加來道雄(Michio Kaku),時報文化,390004
3,390 人類學,"我不吃藥, 照樣擊退壞膽固醇與中性脂肪",長島壽惠,方舟文化,390005
3,390 人類學,"父母的語言 : 3000萬字, 給孩子更優質的學習型大腦",丹娜.蘇斯金(Dana Suskind),親子天下,390006
3,390 人類學,人體筋膜結構 : 內視鏡下的細胞&細胞外基質,姚.克勞德.楊伯特(Jean Claude Guimberteau),楓書坊文化,390007
3,390 人類學,酵素食代,江晃榮,奇点,390008
3,390 人類學,皮囊之下 : 15則與身體對話之旅,衛爾康收藏館(Wellcome Collection),健行文化,390009
3,390 人類學,"怪咖人類學 : 用五大學科冷知識, 破解22件人類暗黑史",眠眠,日出,390010
