
6,680 中國地理類志,無錫與江浙名城 : 歷史影像數位彩色復原精選 = Wuxi and famous cities of Jiangzhe : a collection of colorized historical photographs,張維晏,新世語文化,680001
6,680 中國地理類志,水經注,張偉國,中華書局,680002
6,680 中國地理類志,臺灣的邊政研究七十年,劉學銚,致知學術,680003
6,680 中國地理類志,鄱陽湖 : 從人文深處走來,明然,獨立作家出版,680004
6,680 中國地理類志,中國山川地圖,通鑑文化編輯部,人類智庫,680005
6,680 中國地理類志,翠綠邊地 : 清季西南邊界條約輿圖 = The green borderlands : treaties and maps the defined the Qing's southwest boundaries,宋兆霖,國立故宮博物院,680006
6,680 中國地理類志,無錫與江浙名城 : 歷史影像數位彩色復原精選,徐宗懋圖文館,新世語文化,680007
6,680 中國地理類志,中國國際秩序原理的轉型 : 從「以不治治之」到「實效管轄」的清末滿蒙疆藏籌邊論述,張啟雄,蒙藏委員會,680008
6,680 中國地理類志,中華民國南疆史料選輯 = Compilation of historical archives on the Southern Territories of the republic of China,王冠雄,內政部,680009
6,680 中國地理類志,羣山峙千仞 : 中國名山,曾萍萍,錦繡,680010
